Reference codial;Fournisseur;Machine;Marque;Materiel;Reference;Denomination;Debut;Entrees;Sorties;StockFin;Minimum
13AO0021;FRANKE;;TRUE;;800801;Filtre déshy pour frigo TRUE TSSU-48-12.EAF;;;;;
13AO0022;TRUE;;;;851138;Capillaire  pour TSSU-48-12.EAF;;;;;
13AO0023;TRUE;;;;842081;Compresseur de table réfrigérée TSSU-48-12;;;;;
13AO0024;TRUE;;;;913390;Pin guide lid hinge  ou charnière (axe);;;;;
13AO0025;TRUE;;;;955235;Poignée de porte TRUE  T-23F N° Série 1-4679637;;;;;
13AO0026;TRUE;;;;851145;Tube capillaire sur armoire TAC-27K N° 1- 4558240;;;;;
13AO0027;TRUE;;;;955264;Poignée pour table réfrigérée True réfrigérator;;;;;
13AO0028;TRUE;;;;872010;Kit de roulette sur un congel T23F N° 5005462;;;;;
13AO0029;TRUE;;;;924007;Moteur ventilateur condenseur;;;;;
13AO0030;TRUE;;;;802613;Evaporateur armoire True TAC-27K;;;;;
13AO0031;TRUE;;;;842498;Compresseur  TAC 27K;;;;;
13AO0032;FRANKE;;TRUE;;800415;Ventilateur évaporateur ou moteur;;;;;
13AO0033;TRUE;;;;932587;Joint de portes;;;;;
13AO0034;TRUE;;;;800443;Ventilateur condenseur True T-23F / T2168GK/MO63366/5019088;;;;;
13AO0035;TRUE;;;;930708;Kit controleur de température;;;;;
13AO0036;TRUE;;;;831976;Afficheur;;;;;
13AO0037;TRUE;;;;831985;Sonde de réglateur Dixell (1jeu de 3);;;;;
13AO0038;TRUE;;;;926530;Régulateur Dixell sur un frigo n°S 5019088;;;;;
13AO0039;TRUE;;;;947039;Hélice;;;;;
13AO0040;TRUE;;;;870837;Charnière supérieure;;;;;
13AO0041;TRUE;;;;870842;Charnière inférieure  ;;;;;
13AO0042;TRUE;;;;831907;Transformateur;;;;;
13AO0043;TRUE;;;;841011;Néon;;;;;
13AO0044;TRUE;;;;842062;Support néon;;;;;
13AO0045;TRUE;;;;842250;Interrupteur;;;;;
13AO0046;TRUE;;;;831996;Horloge de dégivrage pour armoire T2168 GK;;;;;
13AO0047;TRUE;;;;810862;Joint GDM - 23 Blanc;;;;;
13AO0048;TRUE;;;;951223;Moteur condensateur évaporateur FAN 230 v P/R290HC;;;;;
13AO0049;FRANKE;;TRUE;;719.390.868;Joint de porte frigo fish TUC-27F-LP;;;;;
13AO0050;FRANKE;;TRUE;;719.395.017;Joint de porte pour meuble garnitureTSSU-48, TUC -48 , TUC-48F;;;;;
13AO0051;DESIGN BOIS;;TRUE;;;Transformateur Led pour vitrine Mc café;;;;;
13AO0052;FRANKE;;TRUE;;;Compresseur pour un congel True TMW-36F-QT-SD;;;;;
13AO0053;FRANKE;;TRUE;;719.395.750;Porte de frigo TRUE T23F;;;;;
13AO0054;FRANKE;;TRUE;;719.394.894;Kit pièces rechange ailettes aspiration avec support réfrigérateur pour TAC -27K;;;;;
13AO0055;FRANKE;;TRUE;;719.393.297;Conduite de pression, serpentin de réchauffage de gaz pour TRUE TAC-27K;;;;;
13AO0056;DESIGN BOIS;;MARREL;;;Transfo ancienne génération pour Mc Café 24/30W 24V DC;;;;;
13AO0057;DESIGN BOIS;;MARREL;;;Téléthermomètrepour Mc café ancienne génération;;;;;
13AO0058;FRANKE;;TRUE;;842079;Compresseur TRUE TMW-36F, TMW-36F-QT, TUC-27F R404A 220/240V/50Hz;;;;;
13AO0059;FRANKE;;TRUE;;719.393.239;Thermostat sur frigo;;;;;
13AO0060;FRANKE;;TRUE;;719.392.666;Compresseur NT6217 U au r290;;;;;
13AO0061;FRANKE;;TRUE;;719.391.619;Bac de frigo True;;;;;
13AO0062;FRANKE;;TRUE;;894985;Tube pour frigo True;;;;;
13AO0063;FRANKE;;TRUE;;719.800.809;Moteur Ventilateur;;;;;
13AO0064;FRANKE;;TRUE;;719.391.178;Joint de frigo TRUE T-23F;;;;;
13AO0065;FRANKE;;TRUE;;719.395.303;Commutateur;;;;;
13AO0066;FRANKE;;FRANKE;;719.394.301;Ventilateur axial L80xl90xH80mm;;;;;
13AO0067;FRANKE;;TRUE;;K19.100.186;Joint de frigo True T-23F pour N° Série 5019088;;;;;
13AO0068;FRANKE;;TRUE;;719.394.166;Thermomètre;;;;;
13AO0069;FRANKE;;TRUE;;719.383.808;Compresseur TRUE T-23;;;;;
13AO0070;DESIGN BOIS;;;;;Cartouches autorégulantes PTC ( 2 résistances bac à condensa);;;;;
13AO0071;FRANKE;;TRUE;;831980;Minuterie;;;;;
13AO0072;FRANKE;;TRUE;;801734;Connecteur;;;;;
13AO0073;FRANKE;;TRUE;;719.391.533;Commutateur pour T23F;;;;;
13AO0074;FRANKE;;TRUE;;719.390.851;Tube capillaire;;;;;
13AO0075;FRANKE;;TRUE;;719.392.619;Ventilateur évaporateur;;;;;
13AO0076;FRANKE;;TRUE;;719.390.820;Roulette ( lot de 4);;;;;
13AO0077;FRANKE;;TRUE;;719.396.484;Thermostat;;;;;
13AO0078;FRANKE;;TRUE;;719.393.716;Câble pour moteur;;;;;
13AO0079;FRANKE;;TRUE;;719.395.014;Résistance dégivrage évaporateur;;;;;
13AO0080;FRANKE;;TRUE;;719.392.710;Résistance;;;;;
13AO0081;FRANKE;;TRUE;;719.395.007;Thermostat;;;;;
13AO0082;FRANKE;;TRUE;;719.394.223;Tuyau;;;;;
13AO0083;FRANKE;;TRUE;;719.391.591;Moteur ventilateur pour frigo TRUE TAC27K;;;;;
13AO0084;FRANKE;;TRUE;;842237;Ballast TAC 27k;;;;;
13AO0085;FRANKE;;TRUE;;719.396.483;Régulateur de température TRUE;;;;;
13AO0086;FRANKE;;TRUE;;1530207;Ventilateur tangentiel moteur droite;;;;;
13AO0087;FRANKE;;TRUE;;719.392.722;Contact de porte inférieur;;;;;
13AO0088;FRANKE;;TRUE;;1530208;Ventilateur tangentiel moteur gauche;;;;;
13AO0089;TRUE;;TRUE;;719.392.706;Compresseur pour congel True T23F;;;;;
13AO0090;FRANKE;;TRUE;;719.391.478;Grille ventilation L914xW330xH178mm for T-23 MC;;;;;
13AO0091;FRANKE;;TRUE;;719.396.338;Afficheur de température;;;;;
13AO0092;;;TRUE;;719.391.544;Régulateur;;;;;
13AO0093;FRANKE;;TRUE;;719.392.715;Charnière complète du haut;;;;;
13AO0094;;;TRUE;;718.800.824;Ressort pour charnière de porte;;;;;
13AO0095;FRANKE;;TRUE;;719.394.854;Régulateur;;;;;
13AO0096;FRANKE;;TRUE;;719.396.666;Régulateur;;;;;
13AO0097;FRANKE;;;;719.397.546;Moteur pour  évaporateur;;;;;
13AP0001;EUROCOLD;;EUROCOLD;;P3403060;Joint de porte Gourmet 700TB;;;;;
13AP0002;EUROCOLD;;SODAGLASS;;P3779039;Pied;;;;;
13AP0003;EUROCOLD;;SODAGLASS;;P3779520;Ventilateur;;;;;
13AP0004;EUROCOLD;;SODAGLASS;;P3779416;Joint de petite porte vitrée;;;;;
13AP0005;EUROCOLD;;EUROCOLD;;P3403070;Contact de porte;;;;;
13AP0006;EUROCOLD;;EUROCOLD;;P3779403;Joint de porte noir;;;;;
13AP0007;EUROCOLD;;EUROCOLD;;P3749231;Ventilateur condenseur;;;;;
13AP0008;EUROCOLD;;EUROCOLD;;C8104095;Compresseur;;;;;
13AP0009;EUROCOLD;;EUROCOLD;;C8104143;Compresseur NE 6213CK;;;;;
13AP0010;EUROCOLD;;EUROCOLD;;P3203517;Ventilateur évaporateur;;;;;
13AP0011;EUROCOLD;;EUROCOLD;;P3749098;Joint de porte blanc 1445x590 sodaglass;;;;;
13AP0012;EUROCOLD;;EUROCOLD;;P3779404;Joint de porte blanc Sodaglass 405l;;;;;
13AP0013;EUROCOLD;;EUROCOLD;;P3403064;Charnière supérieure stock inox 600/700/1200/1400;;;;;
13AP0014;EUROCOLD;;EUROCOLD;;P3232036;Résistance de bac à eau;;;;;
13AP0015;EUROCOLD;;EUROCOLD;;P3471012;Interrupteur de porte;;;;;
13AP0016;EUROCOLD;;EUROCOLD;;P3471051;Résistance;;;;;
13AP0017;EUROCOLD;;EUROCOLD;;P3471047;Résistance de trou d'écoulement;;;;;
13AP0018;EUROCOLD;;EUROCOLD;;P3471005;Ventilateur évaporateur eco inox 706/1406;;;;;
13AP0019;EUROCOLD;;EUROCOLD;;P3471014;jOINT DE PORTE eCO INOX 706/1406;;;;;
13AP0020;EUROCOLD;;;;P3232003;Régulateur CAREL;;;;;
13AQ0001;IARP FRANCE;;;;7110000805;Joint de porte;;;;;
13AQ0002;IARP FRANCE;;SHELLY;;3300790;Flotteur bac de récup eau dégivrage;;;;;
13AQ0003;IARP FRANCE;;;;3303605;Régulateur /TBE MS21/04 - EUREMA TE32E;;;;;
13AQ0004;IARP FRANCE;;;;205616;Sonde PTC noire 2000MM;;;;;
13AQ0005;IARP FRANCE;;RUGIADA;;3303248;Joint de porte Rugiada  ( 2 portes );;;;;
13AQ0006;IARP FRANCE;;IARP;;202070;Contact de porte ou interrupteur N.A C30006;;;;;
13AQ0007;IARP FRANCE;;RUGIADA;;313007;Joint de porte Rugiada 42S2P/eko042/GOCCIA 42 /1713X558 mm;;;;;
13AQ0008;IARP FRANCE;;IARP;;313221;Joint de frigo Stock 70P;;;;;
13AQ0009;IARP FRANCE;;;;402005;"Roulette unidirectionnelle pour Rugiada42/EKO42/GOCCIA42
1713X558 mm";;;;;
13AQ0010;IARP FRANCE;;;;2300011;Joint de frigo EKO 42;;;;;
13AQ0011;IARP FRANCE;;;;3303038;Unité de puissance;;;;;
13AQ0012;IARP FRANCE;;;;3303048;Câble;;;;;
13AR0001;WILLIAMS;;WILLIAM'S;;R65FC150154;Porte vitrée complète ( inclus 2 profis transparents, 2 roulettes, 2 butée haut de porte);;;;;
13AR0002;WILLIAMS;;WILLIAM'S;;GASKET1040;Joint de porte armoire négative;;;;;
13AR0003;WILLIAMS;;WILLIAM'S;;GASKET GEM;Joint pour armoire GEM R65SCN MSTGD N°1205/FC 120154;;;;;
13AW0036;FRANKE;;ANTUNES;;AN7.000.226;Capot interne;;;;;
13BM0001;MARREL;;MARREL;;PD040052S;Moteur ventilateur évaporateur pour ADN 290;;;;;
13BM0002;ROLESCO;;MARREL;;188840105;Thermostat XR60CX;;;;;
13BM0003;MARREL;;MARREL;;PD040188;Ventilateur condenseur;;;;;
13BM0004;MARREL;;MARREL;;PD040090S;Contact de porte noir pour LPT601;;;;;
13BM0005;MARREL;;MARREL;;PD020001S;Régulateur contrôleur LAE pour armoire LPT601;;;;;
13BM0006;FRANKE;;TRUE;;719.391.337;Contact de porte L 330x W254W H51 mm;;;;;
13BO0001;FRANKE;;DIVERSES;;725.114.968;Thermostat Evco;;;;;
13BO0003;FRANKE;;DIVERSES;;725.118.046;Thermostat EVCO 230V;;;;;
13CA0001;EPGC;;ELECTROLUX;;LF3320092;Pressostat niveau d'eau 250/130-390 mm 16/250V;;;;;
13CA0002;FRITEC;;ELECTROLUX;;LF3390376;Carte électronique;;;;;
13CC0001;ETS PHILIPPE;;ISA;;29009;Joint de porte;;;;;
13CE0001;EPGC;;LINEA 4;;;Condenseur;;;;;
13CF0001;EPGC;;ALPENINOX;;LF3123140;Evaporateur pour armoire froide;;;;;
13CK0001;SAS GAMKO;;GAMKO;;6110575;Joint magnétique x/7-41BAS;;;;;
13CL0001;EPGC;;LHIEBHER;;;Bandeau de commande FOLIO;;;;;
13CL0002;EBERHARDT;;LHIEBHER;;LH7734707;Folio bandeau de commande ou cache protecteur;;;;;
13CM0001;GASTROMANIA;;COOLHEAD;;PDGN650TN14RW;Charnière de porte haut;;;;;
13CM0002;GASTROMANIA;;COOLHEAD;;PDGN2100TN36;Support bas charnières;;;;;
13CS0001;MARREL;;;;PD070024S;Rideau à lanière pour armoire ADN 290 TAK 27 avec système d'accrochage et 6 lanières Pvc;;;;;
14AK0001;FRANKE;;;;719.388.454;Relais frymaster (Relais broché);;;;;
14AK0002;FRANKE;;;;8241602;Poignée pour vanne de vidange friteuse;;;;;
14AK0003;FRANKE;;;;719.386.716;Câble connecteur Frymaster;;;;;
14AK0004;FRANKE;;;;719.386.787;Clavier M2000;;;;;
14AK0005;FRANKE;;;;719.388.514;Poignée pour friteuse Frymaster;;;;;
14AK0006;FRANKE;;;;719.388.352;Carte électronique avec broches arrières prendre 719.388.394;;;;;
14AK0007;FRANKE;;;;102099;Relais 24 V SPST;;;;;
14AK0008;FRANKE;;;;8121814;Résistance ou plaque chauffante avec RTD;;;;;
14AK0009;FRANKE;;;;719.386.720;Buzzer ou sonnerie;;;;;
14AK0010;FRANKE;;;;719.386.653;Roulettes bac filtreuse;;;;;
14AK0012;FRANKE;;;;719.388.361;Transformateur 12volt;;;;;
14AK0014;FRANKE;;;;719.386.654;Vis;;;;;
14AK0015;FRANKE;;;;719.385.367;Contacteur 50A / 24 Volts;;;;;
14AK0016;FRANKE;;;;1526184;PC  pentapolaire;;;;;
14AK0017;FRANKE;;;;719.388.499;Contacteur 24Volts;;;;;
14AK0018;FRANKE;;;;719.388.350;Sonde température RE à compter 01/1997 REMPLACE PAR REF //719.394.755;;;;;
14AK0019;FRANKE;;;;719.388.376;Buzzer REMPLACE PAR 8262458;;;;;
14AK0020;FRANKE;;;;8262458;Haut parleur ou buzzer remplace REF// 719.388.376;;;;;
14AK0021;FRANKE;;;;719.388.151;Support arrière pour résistance chauffante;;;;;
14AK0022;FRANKE;;;;719.388.383;Support sonde (probe);;;;;
14AK0023;FRANKE;;;;719.388.154;Vis pour support résistance;;;;;
14AK0024;ENODIS;;;;8102346;Aimant de porte pour friteuse REMPLACE PAR REF//8101105;;;;;
14AK0025;FRANKE;;;;719.388.126;Vis pour support panière friteuse;;;;;
14AK0027;FRANKE;;;;719.388.490;Element chauffant;;;;;
14AK0028;FRANKE;;;;719.388.353;Résistance 240v;;;;;
14AK0029;FRANKE;;;;725.108.064;Crochet capot friteuse;;;;;
14AK0030;FRANKE;;;;719.388.394;Platine de friteuse FRYMASTER 2eme génération;;;;;
14AK0031;ENODIS;;;;8072191;Transformateur 230V/12V;;;;;
14AK0033;ENODIS;;;;8261001;Hi Limit ou sonde;;;;;
14AK0036;ENODIS;;;;8261738;Kit Haut Parleur;;;;;
14AK0037;ENODIS;;;;8073932;Relais noir p/carte interface NM;;;;;
14AK0038;ENODIS;;;;8063660;Buzzer Sonnerie;;;;;
14AK0039;ENODIS;;;;8072153;Résistance 8500W;;;;;
14AK0040;ENODIS;;;;8071569;Micro Interrupteur Pour Résistance;;;;;
14AK0041;ENODIS;;;;8262228;Micro Interrupteur Pour Résistance Re/Contact magnétique RE;;;;;
14AK0042;ENODIS;;;;8063850;Carte interface AM PRENDRE 1066780;;;;;
14AK0043;ENODIS;;;;1066780;Carte interface ANC REF 8063850 NE PAS PRENDRE SURPLUS STOCK 1°Généra;;;;;
14AK0044;ENODIS;;;;8062071;Carte 15 Broches OU faisceau;;;;;
14AK0045;ENODIS;;;;8074199;Câble 15 Broches Pour Nouveau M2000;;;;;
14AK0046;ENODIS;;;;8070833;Relais 12V Pour Carte 1Ère Génération;;;;;
14AK0047;ENODIS;;;;1066659;Platine;;;;;
14AK0048;ENODIS;;;;8261673;Affichage Computeur ou membrane;;;;;
14AK0049;ENODIS;;;;8262531;Kit faisceau puissance RE17;;;;;
14AK0050;ENODIS;;;;8261000;Kit Hi Limit Thermostat;;;;;
14AK0051;ENODIS;;;;8261387;Vise Papillion;;;;;
14AK0052;ENODIS;;;;8261376;Nut  Ecrou prix du paquet de 10;;;;;
14AK0053;FRANKE;;FRYMASTER;;8262212;Sonde Regul RE17;;;;;
14AK0054;ENODIS;;;;8262509;Kit Flasher Light;;;;;
14AK0056;ENODIS;;;;8074348;Carte Interface;;;;;
14AK0057;ENODIS;;;;8070935;Carte interface AM;;;;;
14AK0058;ENODIS;;;;8072135;Connecteur Male 6 Pins;;;;;
14AK0059;ENODIS;;;;8072137;Connecteur Male 9 Pins;;;;;
14AK0060;ENODIS;;FRYMASTER;;8072138;Connecteur Femelle 9 Pins;;;;;
14AK0061;ENODIS;;;;8072136;Connecteur Femelle 6 Pins;;;;;
14AK0062;ENODIS;;;;8074227;Carte Interface voir réf 8262256;;;;;
14AK0063;ENODIS;;FRYMASTER;;8072284;Contacteur 50A;;;;;
14AK0065;ENODIS;;;;836904;Valve Flotteur;;;;;
14AK0066;ENODIS;;;;8102098;Pompe;;;;;
14AK0067;ENODIS;;;;8066336;Carte interface NM REMPLACE PAR REF 8262256;;;;;
14AK0068;ENODIS;;FRYMASTER;;8072285;Faisceau de cable;;;;;
14AK0070;ENODIS;;;;8102100;moteur;;;;;
14AK0071;ENODIS;;;;8070834;Relais relevage 12 volt;;;;;
14AK0072;ENODIS;;;;8110208;Gaine caprie (30 cm) OU Fibre de verre;;;;;
14AK0073;ENODIS;;;;8072484;Electrovanne;;;;;
14AK0074;ENODIS;;;;8101020;Vanne de vidange pour cuve H17;;;;;
14AK0075;ENODIS;;;;8074195;Faisceau;;;;;
14AK0076;ENODIS;;;;8065300;Computeur;;;;;
14AK0077;ENODIS;;;;8061526;Sonde de temperature régul s/résistance anc ref 8072478;;;;;
14AK0078;ENODIS;;;;8262342;Computeur M2000;;;;;
14AK0079;ENODIS;;;;8072643;Résistance chauffante 240V PRENDRE REF 8262153;;;;;
14AK0081;ENODIS;;;;8262347;Computeur M2000;;;;;
14AK0082;ENODIS;;;;8261791;Sonde de régulation;;;;;
14AK0083;ENODIS;;;;8072434;Relais;;;;;
14AK0084;ENODIS;;;;8140047;Protection rouge de la poignée filtration;;;;;
14AK0085;ENODIS;;;;8072478;Sonde de température OU sonde de régul prendre ref  8261526;;;;;
14AK0086;ENODIS;;;;8160021;Joint de trappe;;;;;
14AK0087;ENODIS;;;;8070928;Démonte pin;;;;;
14AK0088;ENODIS;;;;8067179SP;Haut parleur ou sonnerie friteuse;;;;;
14AK0089;ENODIS;;;;8120442;Intercalaire;;;;;
14AK0091;ENODIS;;;;8160584;Bezel;;;;;
14AK0092;ENODIS;;FRYMASTER;;8262154;Kit élément 7 kw anc ref 8072644;;;;;
14AK0093;ENODIS;;;;8070946;Relais interface;;;;;
14AK0094;ENODIS;;;;8072419;Slots arrières;;;;;
14AK0095;ENODIS;;;;8231549;Tube;;;;;
14AK0096;ENODIS;;;;8160032PK;Joint de vidange carré;;;;;
14AK0097;ENODIS;;;;8100396;Ecrou;;;;;
14AK0098;ENODIS;;;;8261348;Trappe regard vidange prix à l'unité (vendu par 5);;;;;
14AK0099;ENODIS;;;;8261072;Brûleur de gauche sur 1 friteuse  propaneH55 N°S 1007IB003;;;;;
14AK0100;ENODIS;;;;8260931;Kit de joint sur 1 friteuse propane H55 N°S1007IB003;;;;;
14AK0101;ENODIS;;FRYMASTER;;8260982;Bougie allumage + 1 joint sur 1 friteuse H55 N°S 1007IB003;;;;;
14AK0102;ENODIS;;;;8072103;Micro swtich vanne de vidange;;;;;
14AK0103;ENODIS;;;;8261958;Relais de plaque chauffante;;;;;
14AK0104;ENODIS;;FRYMASTER;;8090105PK;Vis support résistance;;;;;
14AK0105;ENODIS;;;;8070922;Support fusible;;;;;
14AK0106;ENODIS;;;;8070921;Fusible;;;;;
14AK0107;ENODIS;;;;8063842SP;Fil sonde;;;;;
14AK0108;ENODIS;;;;8100654;Câble flexible;;;;;
14AK0109;ENODIS;;FRYMASTER;;8262199;Résistance RE17;;;;;
14AK0110;ENODIS;;;;8260718;Goutière de vidange;;;;;
14AK0111;ENODIS;;;;8261375;Vis 10-32x3/4 prix à l'unité (vendu paquet de 5);;;;;
14AK0112;ENODIS;;;;8262396;Computeur ou plaque de boitier REDV;;;;;
14AK0113;ENODIS;;;;8003128;Vis;;;;;
14AK0114;ENODIS;;;;8072637;Résistance 10.5 KW;;;;;
14AK0116;ENODIS;;;;8130165;Coude;;;;;
14AK0117;ENODIS;;;;8091003;Vis;;;;;
14AK0118;ENODIS;;;;8070158;Connecteur;;;;;
14AK0119;ENODIS;;;;8070157;Prise adaptateur pour sonde (male);;;;;
14AK0120;ENODIS;;;;8261341;Pin's femelle (sachet de 25) px unit;;;;;
14AK0121;ENODIS;;;;8261342;Fiche male pour connecteur (sachet de 25) px u;;;;;
14AK0122;ENODIS;;;;8070160;Connecteur mâle, 12 fiches  ;;;;;
14AK0123;ENODIS;;;;8101338;Vanne de vidange pour modèle  XBIMH314-4LCSD N° S9409MX0153;;;;;
14AK0124;ENODIS;;;;8262455;Hit limit ou thermostat de sécurité (anc réf 8068132);;;;;
14AK0125;ENODIS;;;;8160625;Manchon pour friteuse RE VOIR NOUVELLE REF 8160729;;;;;
14AK0126;ENODIS;;;;8090969;Collier pour friteuse RE;;;;;
14AK0127;ENODIS;;;;8160729;Joint OU Manchon pour friteuse;;;;;
14AK0128;ENODIS;;;;8070884;Contacteur  50 Ampère /24 V;;;;;
14AK0129;ENODIS;;;;8230725;Tube drain 2.5 x8;;;;;
14AK0130;ENODIS;;;;8231543;Tube de vidange ou vanne;;;;;
14AK0131;ENODIS;;;;8232336;Vidange ou vanne;;;;;
14AK0132;ENODIS;;;;1768;Electrovanne de vidange;;;;;
14AK0133;ENODIS;;;;8232636;Tube de vidange carré côté gauche 2 vannes avec ouverture;;;;;
14AK0134;ENODIS;;;;8231551;Tube de vidange;;;;;
14AK0135;ENODIS;;;;8238031;Bandeau inox de façade;;;;;
14AK0136;ENODIS;;;;8230718;Goutière de vidange;;;;;
14AK0137;ENODIS;;;;8261270;Moteur friteuse modèle RE;;;;;
14AK0138;ENODIS;;;;8261264;Pompe friteuse modèle RE;;;;;
14AK0139;ENODIS;;;;8241602;Poignée;;;;;
14AK0140;ENODIS;;;;8232637;Tube vidange;;;;;
14AK0141;ENODIS;;;;8072278;Fusible 20 amp à l'unité;;;;;
14AK0142;ENODIS;;;;8070159;Connecteur 12 pin;;;;;
14AK0143;ENODIS;;FRYMASTER;;8100326P;Roulette avec frein;;;;;
14AK0144;ENODIS;;FRYMASTER;;8101494;Roulettes sans frein;;;;;
14AK0145;ENODIS;;;;8231508;Embout droit;;;;;
14AK0146;ENODIS;;;;8231507;Goutière;;;;;
14AK0147;ENODIS;;;;8261382;Ecrou papillon prix du paquet de 10;;;;;
14AK0148;ENODIS;;;;8101422;Poignée;;;;;
14AK0149;ENODIS;;;;8101160;"Flexible retour huile 5.50""";;;;;
14AK0151;ENODIS;;FRYMASTER;;8073036;PROBE;;;;;
14AK0152;ENODIS;;FRYMASTER;;807.422.7D;CARTE SIMPLE CUVE BROCHE AVANT;;;;;
14AK0153;ENODIS;;FRYMASTER;;1060572SP;SUPPORT;;;;;
14AK0154;ENODIS;;FRYMASTER;;1060573SP;SUPPORT;;;;;
14AK0155;FRANKE;;FRYMASTER;;719 386 716;CABLE 15 P COMPUTER;;;;;
14AK0156;ENODIS;;FRYMASTER;;826 22 60;CARTE INTERFACE;;;;;
14AK0157;ENODIS;;FRYMASTER;;106 67 80;CARTE INTERFACE;;;;;
14AK0158;ENODIS;;FRYMASTER;;826 22 56;CARTE INTERFACE;;;;;
14AK0159;ENODIS;;FRYMASTER;;807 22 85;FAISCEAU CABLAGE;;;;;
14AK0160;FRANKE;;FRYMASTER;;8 262 458;HAUT-PARLEUR;;;;;
14AK0161;ENODIS;;FRYMASTER;;826 27 41;INTER MERCURE;;;;;
14AK0162;FRANKE;;FRYMASTER;;719 388 454;RELAIS BROCHE;;;;;
14AK0163;ENODIS;;FRYMASTER;;8 072 643;RESISTANCE;;;;;
14AK0164;ENODIS;;FRYMASTER;;8 262 200;RESISTANCE RE;;;;;
14AK0165;ENODIS;;FRYMASTER;;8 261 001;THERMOSTAT HI LIM;;;;;
14AK0166;FRANKE;;FRYMASTER /HP;;385.644 (151.82.20);PC P17 3P+N+T 32A MALE;;;;;
14AK0167;ENODIS;;FRYMASTER;;8101114;"Vanne 1""";;;;;
14AK0168;ENODIS;;FRYMASTER;;8130284;Raccord intermédiaire;;;;;
14AK0169;ENODIS;;FRYMASTER;;8160091;Joint de sortie vidange simple cuve ( à l'unité);;;;;
14AK0170;ENODIS;;FRYMASTER;;8263023;Kit K3000 Computeur;;;;;
14AK0171;ENODIS;;;;8101105;Aimant de fermeture de porte;;;;;
14AK0172;ENODIS;;FRYMASTER;;8072572;Microswitch;;;;;
14AK0173;ENODIS;;FRYMASTER;;8065964SP;Moteur 240V;;;;;
14AK0174;ENODIS;;FRYMASTER;;8071071;Contacteur mercure;;;;;
14AK0175;FRANKE;;FRYMASTER;;719.384.939;Bloc 6 pôles;;;;;
14AK0176;FRANKE;;FRYMASTER;;719.385.902;Faisceau;;;;;
14AK0177;ENODIS;;FRYMASTER;;8262155;Thermostat de sécurité;;;;;
14AK0178;FRANKE;;FRYMASTER;;719.386.737;Clavier;;;;;
14AK0179;FRANKE;;FRYMASTER;;719.394.755;Sonde de température;;;;;
14AK0180;FRANKE;;;;719.394.941;Vis pour support panière friteuse;;;;;
14AK0181;FRANKE;;FRYMASTER;;8030106P;Grille cuve H2 ( double cuve);;;;;
14AK0182;ENODIS;;FRYMASTER;;14AK0182;Carte de puissance UHC;;;;;
14AK0183;ENODIS;;FRYMASTER;;2106862;Charnière support de porte;;;;;
14AK0184;ENODIS;;;;8261392;Joint torique ( par 5);;;;;
14AK0185;ENODIS;;FRYMASTER;;9102042;Crochet;;;;;
14AK0186;ENODIS;;FRYMASTER;;8101565P;Roulette;;;;;
14AK0187;ENODIS;;FRYMASTER;;8070158;Connecteur femelle;;;;;
14AK0188;ENODIS;;FRYMASTER;;1066771SP;Faisceau  friteuse RE;;;;;
14AK0189;ENODIS;;FRYMASTER;;1066771SP;Faisceau  friteuse RE;;;;;
14AK0190;ENODIS;;FRYMASTER;;1066768SP;"Faisceau puissance contacteur résistance
";;;;;
14AK0191;ENODIS;;FRYMASTER;;8100944P;Roulette pivotante avant avec frein;;;;;
14AK0192;ENODIS;;FRYMASTER;;8262194;Résistance 230v 7kw RE17-2;;;;;
14AK0193;ENODIS;;FRYMASTER;;8263107;Computeur 3000;;;;;
14AK0194;ENODIS;;;;8073297;Clavier pour computeur M2000;;;;;
14AK0195;ENODIS;;;;8067915;Vanne;;;;;
14AS0001;FRANKE;;;;S19.000.532;Carte pour friteuse PITCO KFC;;;;;
14AS0002;FRANKE;;;;719.390.470;Computer PITCO;;;;;
14AS0003;;;;;719.384.202;Platine PITCO;;;;;
14AS0004;FRANKE;;;;719.384.210;Sonde PITCO;;;;;
14AT0001;FRANKE;;;;HP52487;Roulettes Bac Filtrage;;;;;
14AT0002;FRANKE;;FRANKE;;HP65073;Contacteur 24V;;;;;
14AT0005;FRANKE;;;;HP18227;Switch Vidange pour LOV;;;;;
14AT0006;FRANKE;;;;HP140054;Hit Limit Switch LVE;;;;;
14AT0007;FRANKE;;HENNY PENNY;;HP74725;Résistance 240 V/7 Kw;;;;;
14AT0008;FRANKE;;;;HP80148;Interrupteur;;;;;
14AT0009;FRANKE;;;;HP77285NEU;Thermostat Hit limit (LVE) LOV 100 REMPLACE PAR REF 719.392.746;;;;;
14AT0010;FRANKE;;;;HP85698RB;Carte Aif Friteuse Lov 2Ème Génération;;;;;
14AT0011;FRANKE;;HENNY PENNY;;HP74469;"Clapet Anti Retour ( Vanne) Friteuse Lov 2Ème Génération - Soupape d'arrêt 1/2 (LVE) vanne vidange
";;;;;
14AT0012;FRANKE;;;;HP74469;Soupape d'arrêt 1/2 (LVE) vanne vidange;;;;;
14AT0013;FRANKE;;;;HP75860;Voyant bleu;;;;;
14AT0014;FRANKE;;HENNY PENNY;;780.005.019;Pompe à huile  LVE  (GIB) ( ancienne ref HP74583);;;;;
14AT0016;FRANKE;;HENNY PENNY;;HP74189;"Joint série 100 LOV
";;;;;
14AT0017;FRANKE;;FRANKE;;HP76463RB;Carte AIF;;;;;
