;Référence;Réf. Fournisseur;Fournisseur;Marque;Désignation;Quantités
3599;13AO0080;719.392.710;FRANKE;TRUE;Résistance;
3600;13AO0081;719.395.007;FRANKE;TRUE;Thermostat;
3601;13AO0082;719.394.223;FRANKE;TRUE;Tuyau;
3602;13AO0083;719.391.591;FRANKE;TRUE;Moteur ventilateur pour frigo TRUE TAC27K;
3603;13AO0084;842237;FRANKE;TRUE;Ballast TAC 27k;
3604;13AO0085;719.396.483;FRANKE;TRUE;Régulateur de température TRUE;
3605;13AO0086;1530207;FRANKE;TRUE;Ventilateur tangentiel moteur droite;
3606;13AO0087;719.392.722;FRANKE;TRUE;Contact de porte inférieur;
3607;13AO0088;1530208;FRANKE;TRUE;Ventilateur tangentiel moteur gauche;
3608;13AO0089;719.392.706;TRUE;TRUE;Compresseur pour congel True T23F;
3609;13AO0090;719.391.478;FRANKE;TRUE;Grille ventilation L914xW330xH178mm for T-23 MC;
3610;13AO0091;719.396.338;FRANKE;TRUE;Afficheur de température;
3611;13AO0092;719.391.544;;TRUE;Régulateur;
3612;13AO0093;719.392.715;FRANKE;TRUE;Charnière complète du haut;
3613;13AO0094;718.800.824;;TRUE;Ressort pour charnière de porte;
3614;13AO0095;719.394.854;FRANKE;TRUE;Régulateur;
3615;13AO0096;719.396.666;FRANKE;TRUE;Régulateur;
3616;13AO0097;719.397.546;FRANKE;;Moteur pour  évaporateur;
3617;13AP0001;P3403060;EUROCOLD;EUROCOLD;Joint de porte Gourmet 700TB;
3618;13AP0002;P3779039;EUROCOLD;SODAGLASS;Pied;
3619;13AP0003;P3779520;EUROCOLD;SODAGLASS;Ventilateur;
3620;13AP0004;P3779416;EUROCOLD;SODAGLASS;Joint de petite porte vitrée;
3621;13AP0005;P3403070;EUROCOLD;EUROCOLD;Contact de porte;
3622;13AP0006;P3779403;EUROCOLD;EUROCOLD;Joint de porte noir;
3623;13AP0007;P3749231;EUROCOLD;EUROCOLD;Ventilateur condenseur;
3624;13AP0008;C8104095;EUROCOLD;EUROCOLD;Compresseur;
3625;13AP0009;C8104143;EUROCOLD;EUROCOLD;Compresseur NE 6213CK;
3626;13AP0010;P3203517;EUROCOLD;EUROCOLD;Ventilateur évaporateur;
3627;13AP0011;P3749098;EUROCOLD;EUROCOLD;Joint de porte blanc 1445x590 sodaglass;
3628;13AP0012;P3779404;EUROCOLD;EUROCOLD;Joint de porte blanc Sodaglass 405l;
3629;13AP0013;P3403064;EUROCOLD;EUROCOLD;Charnière supérieure stock inox 600/700/1200/1400;
3630;13AP0014;P3232036;EUROCOLD;EUROCOLD;Résistance de bac à eau;
3631;13AP0015;P3471012;EUROCOLD;EUROCOLD;Interrupteur de porte;
3632;13AP0016;P3471051;EUROCOLD;EUROCOLD;Résistance;
3633;13AP0017;P3471047;EUROCOLD;EUROCOLD;Résistance de trou d'écoulement;
3634;13AP0018;P3471005;EUROCOLD;EUROCOLD;Ventilateur évaporateur eco inox 706/1406;
3635;13AP0019;P3471014;EUROCOLD;EUROCOLD;jOINT DE PORTE eCO INOX 706/1406;
3636;13AP0020;P3232003;EUROCOLD;;Régulateur CAREL;
3637;13AQ0001;7110000805;IARP FRANCE;;Joint de porte;
3638;13AQ0002;3300790;IARP FRANCE;SHELLY;Flotteur bac de récup eau dégivrage;
3639;13AQ0003;3303605;IARP FRANCE;;Régulateur /TBE MS21/04 - EUREMA TE32E;
3640;13AQ0004;0205616;IARP FRANCE;;Sonde PTC noire 2000MM;
3641;13AQ0005;3303248;IARP FRANCE;RUGIADA;Joint de porte Rugiada  ( 2 portes );
3642;13AQ0006;0202070;IARP FRANCE;IARP;Contact de porte ou interrupteur N.A C30006;
3643;13AQ0007;0313007;IARP FRANCE;RUGIADA;Joint de porte Rugiada 42S2P/eko042/GOCCIA 42 /1713X558 mm;
3644;13AQ0008;0313221;IARP FRANCE;IARP;Joint de frigo Stock 70P;
3645;13AQ0009;0402005;IARP FRANCE;;"Roulette unidirectionnelle pour Rugiada42/EKO42/GOCCIA42
1713X558 mm";
3646;13AQ0010;02300011;IARP FRANCE;;Joint de frigo EKO 42;
3647;13AQ0011;3303038;IARP FRANCE;;Unité de puissance;
3648;13AQ0012;3303048;IARP FRANCE;;Câble;
3649;13AR0001;R65FC150154;WILLIAMS;WILLIAM'S;Porte vitrée complète ( inclus 2 profis transparents, 2 roulettes, 2 butée haut de porte);
3650;13AR0002;GASKET1040;WILLIAMS;WILLIAM'S;Joint de porte armoire négative;
3651;13AR0003;GASKET GEM;WILLIAMS;WILLIAM'S;Joint pour armoire GEM R65SCN MSTGD N°1205/FC 120154;
3652;13AW0036;AN7.000.226;FRANKE;ANTUNES;Capot interne;
3653;13BM0001;PD040052S;MARREL;MARREL;Moteur ventilateur évaporateur pour ADN 290;
3654;13BM0002;188840105;ROLESCO;MARREL;Thermostat XR60CX;
3655;13BM0003;PD040188;MARREL;MARREL;Ventilateur condenseur;
3656;13BM0004;PD040090S;MARREL;MARREL;Contact de porte noir pour LPT601;
3657;13BM0005;PD020001S;MARREL;MARREL;Régulateur contrôleur LAE pour armoire LPT601;
3658;13BM0006;719.391.337;FRANKE;TRUE;Contact de porte L 330x W254W H51 mm;
3659;13BO0001;725.114.968;FRANKE;DIVERSES;Thermostat Evco;
3660;13BO0003;725.118.046;FRANKE;DIVERSES;Thermostat EVCO 230V;
3661;13CA0001;LF3320092;EPGC;ELECTROLUX;Pressostat niveau d'eau 250/130-390 mm 16/250V;
3662;13CA0002;LF3390376;FRITEC;ELECTROLUX;Carte électronique;
3663;13CC0001;29009;ETS PHILIPPE;ISA;Joint de porte;
3664;13CE0001;;EPGC;LINEA 4;Condenseur;
3665;13CF0001;LF3123140;EPGC;ALPENINOX;Evaporateur pour armoire froide;
3666;13CK0001;006110575;SAS GAMKO;GAMKO;Joint magnétique x/7-41BAS;
3667;13CL0001;;EPGC;LHIEBHER;Bandeau de commande FOLIO;
3668;13CL0002;LH7734707;EBERHARDT;LHIEBHER;Folio bandeau de commande ou cache protecteur;
3669;13CM0001;PDGN650TN14RW;GASTROMANIA;COOLHEAD;Charnière de porte haut;
3670;13CM0002;PDGN2100TN36;GASTROMANIA;COOLHEAD;Support bas charnières;
3671;13CS0001;PD070024S;MARREL;;Rideau à lanière pour armoire ADN 290 TAK 27 avec système d'accrochage et 6 lanières Pvc;
3672;14AK0001;719.388.454;FRANKE;;Relais frymaster (Relais broché);
3673;14AK0002;8241602;FRANKE;;Poignée pour vanne de vidange friteuse;
3674;14AK0003;719.386.716;FRANKE;;Câble connecteur Frymaster;
3675;14AK0004;719.386.787;FRANKE;;Clavier M2000;
3676;14AK0005;719.388.514;FRANKE;;Poignée pour friteuse Frymaster;
3677;14AK0006;719.388.352;FRANKE;;Carte électronique avec broches arrières prendre 719.388.394;
3678;14AK0007;102099;FRANKE;;Relais 24 V SPST;
3679;14AK0008;8121814;FRANKE;;Résistance ou plaque chauffante avec RTD;
3680;14AK0009;719.386.720;FRANKE;;Buzzer ou sonnerie;
3681;14AK0010;719.386.653;FRANKE;;Roulettes bac filtreuse;
3682;14AK0012;719.388.361;FRANKE;;Transformateur 12volt;
3683;14AK0014;719.386.654;FRANKE;;Vis;
3684;14AK0015;719.385.367;FRANKE;;Contacteur 50A / 24 Volts;
3685;14AK0016;1526184;FRANKE;;PC  pentapolaire;
3686;14AK0017;719.388.499;FRANKE;;Contacteur 24Volts;
3687;14AK0018;719.388.350;FRANKE;;Sonde température RE à compter 01/1997 REMPLACE PAR REF //719.394.755;
3688;14AK0019;719.388.376;FRANKE;;Buzzer REMPLACE PAR 8262458;
3689;14AK0020;8262458;FRANKE;;Haut parleur ou buzzer remplace REF// 719.388.376;
3690;14AK0021;719.388.151;FRANKE;;Support arrière pour résistance chauffante;
3691;14AK0022;719.388.383;FRANKE;;Support sonde (probe);
3692;14AK0023;719.388.154;FRANKE;;Vis pour support résistance;
3693;14AK0024;8102346;ENODIS;;Aimant de porte pour friteuse REMPLACE PAR REF//8101105;
3694;14AK0025;719.388.126;FRANKE;;Vis pour support panière friteuse;
3695;14AK0027;719.388.490;FRANKE;;Element chauffant;
3696;14AK0028;719.388.353;FRANKE;;Résistance 240v;
3697;14AK0029;725.108.064;FRANKE;;Crochet capot friteuse;
3698;14AK0030;719.388.394;FRANKE;;Platine de friteuse FRYMASTER 2eme génération;
3699;14AK0031;8072191;ENODIS;;Transformateur 230V/12V;
3700;14AK0033;8261001;ENODIS;;Hi Limit ou sonde;
3701;14AK0036;8261738;ENODIS;;Kit Haut Parleur;
3702;14AK0037;8073932;ENODIS;;Relais noir p/carte interface NM;
3703;14AK0038;8063660;ENODIS;;Buzzer Sonnerie;
3704;14AK0039;8072153;ENODIS;;Résistance 8500W;
3705;14AK0040;8071569;ENODIS;;Micro Interrupteur Pour Résistance;
3706;14AK0041;8262228;ENODIS;;Micro Interrupteur Pour Résistance Re/Contact magnétique RE;
3707;14AK0042;8063850;ENODIS;;Carte interface AM PRENDRE 1066780;
3708;14AK0043;1066780;ENODIS;;Carte interface ANC REF 8063850 NE PAS PRENDRE SURPLUS STOCK 1°Généra;
3709;14AK0044;8062071;ENODIS;;Carte 15 Broches OU faisceau;
3710;14AK0045;8074199;ENODIS;;Câble 15 Broches Pour Nouveau M2000;
3711;14AK0046;8070833;ENODIS;;Relais 12V Pour Carte 1Ère Génération;
3712;14AK0047;1066659;ENODIS;;Platine;
3713;14AK0048;8261673;ENODIS;;Affichage Computeur ou membrane;
3714;14AK0049;8262531;ENODIS;;Kit faisceau puissance RE17;
3715;14AK0050;8261000;ENODIS;;Kit Hi Limit Thermostat;
3716;14AK0051;8261387;ENODIS;;Vise Papillion;
3717;14AK0052;8261376;ENODIS;;Nut  Ecrou prix du paquet de 10;
3718;14AK0053;8262212;FRANKE;FRYMASTER;Sonde Regul RE17;
3719;14AK0054;8262509;ENODIS;;Kit Flasher Light;
3720;14AK0056;8074348;ENODIS;;Carte Interface;
3721;14AK0057;8070935;ENODIS;;Carte interface AM;
3722;14AK0058;8072135;ENODIS;;Connecteur Male 6 Pins;
3723;14AK0059;8072137;ENODIS;;Connecteur Male 9 Pins;
3724;14AK0060;8072138;ENODIS;FRYMASTER;Connecteur Femelle 9 Pins;
3725;14AK0061;8072136;ENODIS;;Connecteur Femelle 6 Pins;
3726;14AK0062;8074227;ENODIS;;Carte Interface voir réf 8262256;
3727;14AK0063;8072284;ENODIS;FRYMASTER;Contacteur 50A;
3728;14AK0065;836904;ENODIS;;Valve Flotteur;
3729;14AK0066;8102098;ENODIS;;Pompe;
3730;14AK0067;8066336;ENODIS;;Carte interface NM REMPLACE PAR REF 8262256;
3731;14AK0068;8072285;ENODIS;FRYMASTER;Faisceau de cable;
3732;14AK0070;8102100;ENODIS;;moteur;
3733;14AK0071;8070834;ENODIS;;Relais relevage 12 volt;
3734;14AK0072;8110208;ENODIS;;Gaine caprie (30 cm) OU Fibre de verre;
3735;14AK0073;8072484;ENODIS;;Electrovanne;
3736;14AK0074;8101020;ENODIS;;Vanne de vidange pour cuve H17;
3737;14AK0075;8074195;ENODIS;;Faisceau;
3738;14AK0076;8065300;ENODIS;;Computeur;
3739;14AK0077;8061526;ENODIS;;Sonde de temperature régul s/résistance anc ref 8072478;
3740;14AK0078;8262342;ENODIS;;Computeur M2000;
3741;14AK0079;8072643;ENODIS;;Résistance chauffante 240V PRENDRE REF 8262153;
3742;14AK0081;8262347;ENODIS;;Computeur M2000;
3743;14AK0082;8261791;ENODIS;;Sonde de régulation;
3744;14AK0083;8072434;ENODIS;;Relais;
3745;14AK0084;8140047;ENODIS;;Protection rouge de la poignée filtration;
3746;14AK0085;8072478;ENODIS;;Sonde de température OU sonde de régul prendre ref  8261526;
3747;14AK0086;8160021;ENODIS;;Joint de trappe;
3748;14AK0087;8070928;ENODIS;;Démonte pin;
3749;14AK0088;8067179SP;ENODIS;;Haut parleur ou sonnerie friteuse;
3750;14AK0089;8120442;ENODIS;;Intercalaire;
3751;14AK0091;8160584;ENODIS;;Bezel;
3752;14AK0092;8262154;ENODIS;FRYMASTER;Kit élément 7 kw anc ref 8072644;
3753;14AK0093;8070946;ENODIS;;Relais interface;
3754;14AK0094;8072419;ENODIS;;Slots arrières;
3755;14AK0095;8231549;ENODIS;;Tube;
3756;14AK0096;8160032PK;ENODIS;;Joint de vidange carré;
3757;14AK0097;8100396;ENODIS;;Ecrou;
3758;14AK0098;8261348;ENODIS;;Trappe regard vidange prix à l'unité (vendu par 5);
3759;14AK0099;8261072;ENODIS;;Brûleur de gauche sur 1 friteuse  propaneH55 N°S 1007IB003;
3760;14AK0100;8260931;ENODIS;;Kit de joint sur 1 friteuse propane H55 N°S1007IB003;
3761;14AK0101;8260982;ENODIS;FRYMASTER;Bougie allumage + 1 joint sur 1 friteuse H55 N°S 1007IB003;
3762;14AK0102;8072103;ENODIS;;Micro swtich vanne de vidange;
3763;14AK0103;8261958;ENODIS;;Relais de plaque chauffante;
3764;14AK0104;8090105PK;ENODIS;FRYMASTER;Vis support résistance;
3765;14AK0105;8070922;ENODIS;;Support fusible;
3766;14AK0106;8070921;ENODIS;;Fusible;
3767;14AK0107;8063842SP;ENODIS;;Fil sonde;
3768;14AK0108;8100654;ENODIS;;Câble flexible;
3769;14AK0109;8262199;ENODIS;FRYMASTER;Résistance RE17;
3770;14AK0110;8260718;ENODIS;;Goutière de vidange;
3771;14AK0111;8261375;ENODIS;;Vis 10-32x3/4 prix à l'unité (vendu paquet de 5);
3772;14AK0112;8262396;ENODIS;;Computeur ou plaque de boitier REDV;
3773;14AK0113;8003128;ENODIS;;Vis;
3774;14AK0114;8072637;ENODIS;;Résistance 10.5 KW;
3775;14AK0116;8130165;ENODIS;;Coude;
3776;14AK0117;8091003;ENODIS;;Vis;
3777;14AK0118;8070158;ENODIS;;Connecteur;
3778;14AK0119;8070157;ENODIS;;Prise adaptateur pour sonde (male);
3779;14AK0120;8261341;ENODIS;;Pin's femelle (sachet de 25) px unit;
3780;14AK0121;8261342;ENODIS;;Fiche male pour connecteur (sachet de 25) px u;
3781;14AK0122;8070160;ENODIS;;Connecteur mâle, 12 fiches  ;
3782;14AK0123;8101338;ENODIS;;Vanne de vidange pour modèle  XBIMH314-4LCSD N° S9409MX0153;
3783;14AK0124;8262455;ENODIS;;Hit limit ou thermostat de sécurité (anc réf 8068132);
3784;14AK0125;8160625;ENODIS;;Manchon pour friteuse RE VOIR NOUVELLE REF 8160729;
3785;14AK0126;8090969;ENODIS;;Collier pour friteuse RE;
3786;14AK0127;8160729;ENODIS;;Joint OU Manchon pour friteuse;
3787;14AK0128;8070884;ENODIS;;Contacteur  50 Ampère /24 V;
3788;14AK0129;8230725;ENODIS;;Tube drain 2.5 x8;
3789;14AK0130;8231543;ENODIS;;Tube de vidange ou vanne;
3790;14AK0131;8232336;ENODIS;;Vidange ou vanne;
3791;14AK0132;1768;ENODIS;;Electrovanne de vidange;
3792;14AK0133;8232636;ENODIS;;Tube de vidange carré côté gauche 2 vannes avec ouverture;
3793;14AK0134;8231551;ENODIS;;Tube de vidange;
3794;14AK0135;8238031;ENODIS;;Bandeau inox de façade;
3795;14AK0136;8230718;ENODIS;;Goutière de vidange;
3796;14AK0137;8261270;ENODIS;;Moteur friteuse modèle RE;
3797;14AK0138;8261264;ENODIS;;Pompe friteuse modèle RE;
3798;14AK0139;8241602;ENODIS;;Poignée;
3799;14AK0140;8232637;ENODIS;;Tube vidange;
3800;14AK0141;8072278;ENODIS;;Fusible 20 amp à l'unité;
3801;14AK0142;8070159;ENODIS;;Connecteur 12 pin;
3802;14AK0143;8100326P;ENODIS;FRYMASTER;Roulette avec frein;
3803;14AK0144;8101494;ENODIS;FRYMASTER;Roulettes sans frein;
3804;14AK0145;8231508;ENODIS;;Embout droit;
3805;14AK0146;8231507;ENODIS;;Goutière;
3806;14AK0147;8261382;ENODIS;;Ecrou papillon prix du paquet de 10;
3807;14AK0148;8101422;ENODIS;;Poignée;
3808;14AK0149;8101160;ENODIS;;"Flexible retour huile 5.50""";
3809;14AK0151;8073036;ENODIS;FRYMASTER;PROBE;
3810;14AK0152;807.422.7D;ENODIS;FRYMASTER;CARTE SIMPLE CUVE BROCHE AVANT;
3811;14AK0153;1060572SP;ENODIS;FRYMASTER;SUPPORT;
3812;14AK0154;1060573SP;ENODIS;FRYMASTER;SUPPORT;
3813;14AK0155;719 386 716;FRANKE;FRYMASTER;CABLE 15 P COMPUTER;
3814;14AK0156;826 22 60;ENODIS;FRYMASTER;CARTE INTERFACE;
3815;14AK0157;106 67 80;ENODIS;FRYMASTER;CARTE INTERFACE;
3816;14AK0158;826 22 56;ENODIS;FRYMASTER;CARTE INTERFACE;
3817;14AK0159;807 22 85;ENODIS;FRYMASTER;FAISCEAU CABLAGE;
3818;14AK0160;826 2458;FRANKE;FRYMASTER;HAUT-PARLEUR;
3819;14AK0161;826 27 41;ENODIS;FRYMASTER;INTER MERCURE;
3820;14AK0162;719 388 454;FRANKE;FRYMASTER;RELAIS BROCHE;
3821;14AK0163;807 2643;ENODIS;FRYMASTER;RESISTANCE;
3822;14AK0164;826 2200;ENODIS;FRYMASTER;RESISTANCE RE;
3823;14AK0165;826 1001;ENODIS;FRYMASTER;THERMOSTAT HI LIM;
3824;14AK0166;385.644 (151.82.20);FRANKE;FRYMASTER /HP;PC P17 3P+N+T 32A MALE;
3825;14AK0167;8101114;ENODIS;FRYMASTER;"Vanne 1""";
3826;14AK0168;8130284;ENODIS;FRYMASTER;Raccord intermédiaire;
3827;14AK0169;8160091;ENODIS;FRYMASTER;Joint de sortie vidange simple cuve ( à l'unité);
3828;14AK0170;8263023;ENODIS;FRYMASTER;Kit K3000 Computeur;
3829;14AK0171;8101105;ENODIS;;Aimant de fermeture de porte;
3830;14AK0172;8072572;ENODIS;FRYMASTER;Microswitch;
3831;14AK0173;8065964SP;ENODIS;FRYMASTER;Moteur 240V;
3832;14AK0174;8071071;ENODIS;FRYMASTER;Contacteur mercure;
3833;14AK0175;719.384.939;FRANKE;FRYMASTER;Bloc 6 pôles;
3834;14AK0176;719.385.902;FRANKE;FRYMASTER;Faisceau;
3835;14AK0177;8262155;ENODIS;FRYMASTER;Thermostat de sécurité;
3836;14AK0178;719.386.737;FRANKE;FRYMASTER;Clavier;
3837;14AK0179;719.394.755;FRANKE;FRYMASTER;Sonde de température;
3838;14AK0180;719.394.941;FRANKE;;Vis pour support panière friteuse;
3839;14AK0181;8030106P;FRANKE;FRYMASTER;Grille cuve H2 ( double cuve);
3840;14AK0182;14AK0182;ENODIS;FRYMASTER;Carte de puissance UHC;
3841;14AK0183;2106862;ENODIS;FRYMASTER;Charnière support de porte;
3842;14AK0184;8261392;ENODIS;;Joint torique ( par 5);
3843;14AK0185;9102042;ENODIS;FRYMASTER;Crochet;
3844;14AK0186;8101565P;ENODIS;FRYMASTER;Roulette;
3845;14AK0187;8070158;ENODIS;FRYMASTER;Connecteur femelle;
3846;14AK0188;1066771SP;ENODIS;FRYMASTER;Faisceau  friteuse RE;
3847;14AK0189;1066771SP;ENODIS;FRYMASTER;Faisceau  friteuse RE;
3848;14AK0190;1066768SP;ENODIS;FRYMASTER;"Faisceau puissance contacteur résistance
";
3849;14AK0191;8100944P;ENODIS;FRYMASTER;Roulette pivotante avant avec frein;
3850;14AK0192;8262194;ENODIS;FRYMASTER;Résistance 230v 7kw RE17-2;
3851;14AK0193;8263107;ENODIS;FRYMASTER;Computeur 3000;
3852;14AK0194;8073297;ENODIS;;Clavier pour computeur M2000;
3853;14AK0195;8067915;ENODIS;;Vanne;
3854;14AS0001;S19.000.532;FRANKE;;Carte pour friteuse PITCO KFC;
3855;14AS0002;719.390.470;FRANKE;;Computer PITCO;
3856;14AS0003;719.384.202;;;Platine PITCO;
3857;14AS0004;719.384.210;FRANKE;;Sonde PITCO;
3858;14AT0001;HP52487;FRANKE;;Roulettes Bac Filtrage;
3859;14AT0002;HP65073;FRANKE;FRANKE;Contacteur 24V;
3860;14AT0005;HP18227;FRANKE;;Switch Vidange pour LOV;
3861;14AT0006;HP140054;FRANKE;;Hit Limit Switch LVE;
3862;14AT0007;HP74725;FRANKE;HENNY PENNY;Résistance 240 V/7 Kw;
3863;14AT0008;HP80148;FRANKE;;Interrupteur;
3864;14AT0009;HP77285NEU;FRANKE;;Thermostat Hit limit (LVE) LOV 100 REMPLACE PAR REF 719.392.746;
3865;14AT0010;HP85698RB;FRANKE;;Carte Aif Friteuse Lov 2Ème Génération;
3866;14AT0011;HP74469;FRANKE;HENNY PENNY;"Clapet Anti Retour ( Vanne) Friteuse Lov 2Ème Génération - Soupape d'arrêt 1/2 (LVE) vanne vidange
";
3867;14AT0012;HP74469;FRANKE;;Soupape d'arrêt 1/2 (LVE) vanne vidange;
3868;14AT0013;HP75860;FRANKE;;Voyant bleu;
3869;14AT0014;780.005.019;FRANKE;HENNY PENNY;Pompe à huile  LVE  (GIB) ( ancienne ref HP74583);
3870;14AT0016;HP74189;FRANKE;HENNY PENNY;"Joint série 100 LOV
";
3871;14AT0017;HP76463RB;FRANKE;FRANKE;Carte AIF;
3872;14AT0019;HP78484002;FRANKE;HENNY PENNY;Résistance LOV;
3873;14AT0020;719.390.078;FRANKE;;Bac Henny Penny prendre réf 719.390.078;
3874;14AT0021;HP82672;FRANKE;;Bac filtreuse;
3875;14AT0022;HP84135;FRANKE;;Transformateur;
3876;14AT0023;HP81911;FRANKE;HENNY PENNY;Valve et Moteur Assy LVE 20;
3877;14AT0026;HP86157;FRANKE;;Motor -actuator P/LVE;
3878;14AT0027;HP52224;FRANKE;;Interrupteur M/A cuve lov;
3879;14AT0028;HP76673RB;FRANKE;;Computeur;
3880;14AT0029;HP80375;FRANKE;;Transformateur Henny Penny;
3881;14AT0030;HP76783;FRANKE;HENNY PENNY;Vanne de vidange;
3882;14AT0031;HP19004;FRANKE;;Roulettes pour chariot à graisse;
3883;14AT0032;SC01076;FRANKE;;Vis 8x32;
3884;14AT0033;NS02002;FRANKE;;Contre ecrou;
3885;14AT0034;HP74582;FRANKE;;Electrovanne 1/2 230v REMPLACE PAR 780.005.028;
3886;14AT0035;HP83649;FRANKE;;Joint série 200 LOV;
3887;14AT0036;HP74189;FRANKE;;Joint série 100 LOV;
3888;14AT0037;HP75859;FRANKE;HENNY PENNY;Voyant JIB cuve frite jaune;
3889;14AT0038;HP7840006;FRANKE;;Résistance;
3890;14AT0039;HP140078;FRANKE;;Tube assemblage remodel kit;
3891;14AT0040;719.390.105;FRANKE;;Ressort UT 400 W;
3892;14AT0041;HP80852;FRANKE;HENNY PENNY;Accouplement de raccord OU tête serveco;
3893;14AT0042;719.388.362;FRANKE;;Fusibles;
3894;14AT0043;HP86086;FRANKE;;Transfo friteuse LOV;
3895;14AT0045;HP76948;FRANKE;;Joints p/LVE 200;
3896;14AT0046;719.390.061;FRANKE;HENNY PENNY;Pompe de filtration pour cuve FCN PRENDRE HP67583+HP17437;
3897;14AT0047;HP17437;FRANKE;;Pompe, kit pompe de filtrage LVE;
3898;14AT0048;HP86349;FRANKE;HENNY PENNY;Joint p/LVE 200;
3899;14AT0049;HP72554;FRANKE;;Tube silicone écoulement;
3900;14AT0050;HP77914;FRANKE;;Protection sonde;
3901;14AT0051;719.391.241;FRANKE;HENNY PENNY;Protection sonde pour LOV probe;
3902;14AT0052;HP83581002;FRANKE;HENNY PENNY;Thermostat ou Hight limit ou bloc well;
3903;14AT0053;719.391.173;FRANKE;HENNY PENNY;Moteur + pompe pour filtration pour friteuse ANCIENNE REF HP67589;
3904;14AT0054;719.390.057;FRANKE;;Carte inox sonde friteuse;
3905;14AT0055;HP14984;FRANKE;;Sonde de T° LVE;
3906;14AT0056;140099;FRANKE;;Sonde de température  pour LVE 203 FFFF;
3907;14AT0057;719.390.058;FRANKE;;Sonde PB5 de niveau;
3908;14AT0058;719.389.946;FRANKE;;Sonde Hi limit pour LOV 104;
3909;14AT0059;719.390.042;FRANKE;;Porte G pour LVE 200;
3910;14AT0060;719.390.044;FRANKE;;Porte D pour friteuse LVE 204;
3911;14AT0061;HP51795;FRANKE;;Contacteur LOV;
3912;14AT0062;HP84401002;FRANKE;HENNY PENNY;Résistance de friteuse  Henny Penny;
3913;14AT0063;719.391.666;FRANKE;HENNY PENNY;Element chauffant L280*l295*H330m pour LVE 200;
3914;14AT0064;HP4401002;FRANKE;;Résistance simple sera REMPLACE PAR HP92104-002;
3915;14AT0065;HP86104;FRANKE;;Interrupteur robinet d'arrêt REMPLACE PAR 719.393.948;
3916;14AT0066;HP79590;FRANKE;HENNY PENNY;Vanne de vidange Lov série 100;
3917;14AT0067;HP75660;FRANKE;HENNY PENNY;Façade computer LOV;
3918;14AT0068;HP67583;H&K;HENNY PENNY;Moteur pour lov 104;
3919;14AT0069;HP17476;FRANKE;;Kit de joint (pompe de filtrage et moteur);
3920;14AT0071;HP73994;FRANKE;HENNY PENNY;Poignée tournante pour robinet vidange P/lov;
3921;14AT0072;HP78484006;FRANKE;HENNY PENNY;Résistance LOV serie 100;
3922;14AT0073;HP76964;FRANKE;;Joint gib pour lov 204;
3923;14AT0074;719.390.066;FRANKE;;Transformateur 24/240V LVE200;
3924;14AT0075;HP26974;FRANKE;;Haut parleur;
3925;14AT0076;719.393.948;FRANKE;;Interrupteur robinet d'arrêt ou switch lov REMPLACE PAR REF 719.395.959;
3926;14AT0077;HP85653;FRANKE;HENNY PENNY;Interrupteur cuve d'écoulement;
3927;14AT0078;HP67617;FRANKE;;Pate switch;
3928;14AT0079;HP16910;FRANKE;;Mano;
3929;14AT0080;HP18721;FRANKE;;Kit électrovanne purge;
3930;14AT0081;719.393.915;FRANKE;;Moteur vanne selection pour LVE200;
3931;14AT0084;719.392.755;FRANKE;;Tube LVE 200;
3932;14AT0085;29898;CAT'SERV;;Interrupteur pour une friteuse 8 têtes PFE590;
3933;14AT0086;HP83 581 002;FRANKE;FRANKE;BLOC WELL;
3934;14AT0087;298.98;CATSERV;HENNY PENNY;INTERRUPEUR M/A KFC;
3935;14AT0088;HP14974;FRANKE;HENNY PENNY;SONDE NIVEAU;
3936;14AT0089;719 390 057;FRANKE;HENNY PENNY;SONDE TEMPERATURE;
3937;14AT0090;719 392 746;FRANKE;HENNY PENNY;THERMOSTAT HI LIM;
3938;14AT0091;HP73713;HK;HENNY PENNY;Kit friteuse LOV 100;
3939;14AT0092;HP86103;FRANKE;HENNY PENNY;Kit moteur robinet d'arrêt REMPLACE PAR REF HP84282-001;
3940;14AT0093;719.390.048;FRANKE;HENNY PENNY;Autocollants clavier;
3941;14AT0094;HP83515RB;H&K;HENNY PENNY;Computeur;
3942;14AT0095;HP84282-001;H&K;HENNY PENNY;Kit moteur robinet;
3943;14AT0096;HP77575;FRANKE;HENNY PENNY;Roulette avant;
3944;14AT0097;780.003.689;FRANKE;HENNY PENNY;Electrovanne cuve LOV FCN;
3945;14AT0098;HP84282-011;FRANKE;HENNY PENNY;Micro switch vanne LOV REMPLACE PAR 719.395.959;
3946;14AT0099;719.392.758;FRANKE;HENNY PENNY;"Tube d'aspiration flexible 54""";
3947;14AT0100;ME90-008;H&K;HENNY PENNY;Relais 12 V;
3948;14AT0101;HP84262;FRANKE;HENNY PENNY;Moteur valve;
3949;14AT0103;719.390.085;FRANKE;HENNY PENNY;Grille pour bac friteuse;
3950;14AT0104;719.390.084;FRANKE;HENNY PENNY;Grille pour bac de friteuse;
3951;14AT0105;FP05017;FRANKE;HENNY PENNY;Raccord Jib mâle;
3952;14AT0106;719.390.064;FRANKE;HENNY PENNY;Raccord Jib femelle ou accouplement rapide;
3953;14AT0107;780.005.028;FRANKE;HENNY PENNY;Electrovanne 1/2 LVE ancienne REF// HP74582 et ancienne REF// 780.003.689;
